order_date,quantity,brand,unit_price,ram,memori_internal,ukuran_layar,resolusi_kamera,kapasitas_baterai,os,rating_pengguna,tahun_rilis,stok_tersedia,total_amount,order_year,order_month,order_day
1970-01-01 00:00:00.000000014,26,Apple,15409424,6,256,6.8,12,4000,iOS,4.2,4142020,False,400645024,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000015,26,Apple,8469482,16,256,5.5,50,4500,iOS,1.5,2102020,False,220206532,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000016,26,Apple,4084823,8,512,6.5,64,4000,iOS,3.0,952020,True,106205398,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000017,27,Apple,14366350,16,64,6.1,48,4000,iOS,2.3,342021,False,387891450,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000018,28,Apple,1825074,6,64,6.1,108,6000,iOS,1.7,11282022,False,51102072,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000019,28,Apple,8449640,6,128,5.5,12,4000,iOS,3.3,12162023,True,236589920,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000020,29,Apple,3402718,4,128,6.7,12,6000,iOS,1.6,122019,True,98678822,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000021,30,Apple,10411362,6,256,5.5,48,4000,iOS,2.8,8242019,False,312340860,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000022,5,Apple,15442469,16,256,5.5,64,4000,iOS,4.4,5312020,False,77212345,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000023,5,Apple,17123941,16,128,6.4,50,4000,iOS,4.8,11122019,True,85619705,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000024,5,Apple,20254986,6,128,6.1,50,4500,iOS,1.4,2182021,False,101274930,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000025,5,Apple,9280860,6,256,6.8,50,4500,iOS,1.5,662023,True,46404300,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000026,5,Apple,9555500,12,256,6.8,48,6000,iOS,4.8,332019,True,47777500,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000027,9,Apple,12141033,6,256,6.5,50,4000,iOS,2.5,12292022,False,109269297,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000028,9,Apple,5883702,12,512,6.5,48,4000,iOS,2.1,442023,False,52953318,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000029,10,Apple,20053217,4,128,5.5,12,6000,iOS,1.2,12202019,True,200532170,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000030,11,Apple,21383588,6,256,6.8,12,5000,iOS,3.2,482023,True,235219468,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000031,12,Apple,10016953,12,512,6.5,48,6000,iOS,4.9,9302019,False,120203436,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000032,12,Apple,11403512,4,128,6.7,50,4500,iOS,1.2,4212021,False,136842144,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000033,13,Apple,2227853,8,512,6.7,108,4500,iOS,4.6,10272020,False,28962089,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000034,17,Apple,21438073,12,64,6.1,64,6000,iOS,1.2,12272020,False,364447241,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000035,17,Apple,3170962,16,512,6.5,12,4000,iOS,2.6,282024,True,53906354,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000036,17,Apple,18937176,12,512,6.7,64,6000,iOS,2.6,12102023,False,321931992,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000037,18,Apple,7876796,16,512,6.8,12,5000,iOS,1.9,8162020,True,141782328,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000038,19,Apple,20594805,12,64,6.4,108,4000,iOS,1.5,392024,False,391301295,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000039,21,Apple,15024026,16,128,6.7,64,5000,iOS,3.3,4182023,False,315504546,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000040,21,Apple,19425846,6,64,6.4,48,4500,iOS,1.6,11282022,True,407942766,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000041,23,Apple,24700285,6,64,6.8,12,4500,iOS,4.1,9162021,False,568106555,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000042,23,Apple,24469837,8,64,6.1,50,4500,iOS,3.2,752022,True,562806251,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000043,27,Apple,16924171,16,128,6.1,108,4000,iOS,2.0,192019,False,456952617,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000044,30,Apple,9539529,16,512,6.5,12,6000,iOS,4.1,4122021,True,286185870,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000045,30,Apple,13864284,4,512,6.8,108,4500,iOS,1.6,10132021,True,415928520,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000046,5,Apple,8106752,16,256,6.5,50,4000,iOS,3.4,2192021,False,40533760,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000047,6,Apple,7653125,4,128,6.5,108,5000,iOS,2.5,1202023,True,45918750,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000048,9,Apple,23125022,16,64,6.5,108,4000,iOS,2.1,752021,False,208125198,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000049,10,Apple,6667904,4,128,6.5,48,4000,iOS,3.4,2292024,False,66679040,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000050,11,Apple,10444980,4,64,6.8,48,4500,iOS,2.3,3192022,False,114894780,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000051,15,Apple,3112708,4,256,6.1,64,6000,iOS,4.4,9162019,True,46690620,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000052,16,Apple,4620844,4,512,6.7,48,4000,iOS,1.5,1112022,True,73933504,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000053,16,Apple,23054554,8,512,6.1,12,5000,iOS,2.6,12232020,True,368872864,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000054,18,Apple,8625080,12,256,6.4,108,6000,iOS,1.5,922023,True,155251440,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000055,20,Apple,22908533,6,256,6.1,108,6000,iOS,3.3,3222021,False,458170660,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000056,21,Apple,8139005,6,512,5.5,64,5000,iOS,1.6,2112023,False,170919105,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000057,23,Apple,4023723,4,64,6.8,108,6000,iOS,2.7,3162021,False,92545629,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000058,23,Apple,21233299,12,128,6.4,108,4000,iOS,3.3,12302020,False,488365877,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000059,23,Apple,24970582,12,256,6.7,108,4000,iOS,3.4,12202019,True,574323386,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000060,24,Apple,4981548,4,256,6.4,50,4000,iOS,4.9,12262023,False,119557152,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000061,26,Apple,23786395,6,512,6.7,64,4000,iOS,4.2,4302019,False,618446270,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000062,26,Apple,7115864,4,512,6.5,48,6000,iOS,1.5,1202021,False,185012464,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000063,26,Apple,15426385,4,512,6.4,108,6000,iOS,2.5,272019,True,401086010,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000064,26,Apple,12127511,12,512,6.4,12,6000,iOS,2.9,3102019,True,315315286,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000065,28,Apple,16091014,12,256,6.8,108,5000,iOS,3.7,3222023,True,450548392,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000066,29,Apple,20266284,12,128,6.8,108,6000,iOS,1.3,372019,False,587722236,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000067,29,Apple,6096770,6,512,6.5,64,4000,iOS,1.7,6232022,False,176806330,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000068,30,Apple,11798468,6,512,6.5,50,6000,iOS,2.6,332024,True,353954040,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000069,6,Apple,23381908,8,256,6.4,48,4000,iOS,4.0,11252020,True,140291448,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000070,7,Apple,10794912,6,128,5.5,108,6000,iOS,1.9,6222020,True,75564384,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000071,10,Apple,14193353,16,512,6.8,48,4000,iOS,3.2,232021,False,141933530,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000072,10,Apple,13824991,12,256,6.4,12,5000,iOS,3.5,5172022,False,138249910,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000073,11,Apple,6943201,8,128,6.1,64,6000,iOS,2.0,3132022,False,76375211,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000074,12,Apple,1640837,8,256,6.1,108,5000,iOS,3.0,772021,True,19690044,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000075,12,Apple,3955206,6,64,6.1,108,5000,iOS,2.5,7122023,False,47462472,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000076,13,Apple,11449582,4,64,6.7,12,5000,iOS,1.8,562022,True,148844566,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000077,14,Apple,12717545,4,64,6.1,64,6000,iOS,2.3,7212019,True,178045630,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000078,14,Apple,20525361,16,256,5.5,48,6000,iOS,3.6,1292022,False,287355054,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000079,17,Apple,5641772,6,64,6.7,48,6000,iOS,4.2,3252020,False,95910124,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000080,17,Apple,3195589,12,64,6.7,108,4500,iOS,4.5,972019,False,54325013,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000081,18,Apple,17844033,6,64,6.8,12,5000,iOS,1.3,1142023,True,321192594,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000082,18,Apple,14163933,4,128,6.1,108,5000,iOS,4.5,1212024,False,254950794,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000083,18,Apple,7495284,12,256,6.1,108,4500,iOS,4.4,11112019,False,134915112,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000084,19,Apple,18328430,6,64,5.5,108,6000,iOS,1.9,4122024,False,348240170,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000085,19,Apple,16876410,12,512,6.5,12,4000,iOS,1.7,7302023,True,320651790,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000086,19,Apple,6072521,8,64,6.5,48,5000,iOS,3.0,5242024,False,115377899,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000087,20,Apple,4937180,4,64,6.5,48,4000,iOS,2.8,2202020,False,98743600,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000088,25,Apple,10282576,6,512,6.8,48,4500,iOS,2.0,462022,True,257064400,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000089,25,Apple,23567108,12,512,5.5,108,4500,iOS,4.5,1242019,False,589177700,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000090,25,Apple,18749053,12,256,5.5,108,6000,iOS,4.2,9272019,False,468726325,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000091,27,Apple,8204432,16,512,6.7,12,5000,iOS,1.9,10292020,False,221519664,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000092,27,Apple,6860716,16,256,6.1,108,4500,iOS,1.3,2242024,False,185239332,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000093,28,Apple,21198658,8,64,6.4,12,4500,iOS,1.3,10262019,True,593562424,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000094,6,Apple,2908243,12,256,5.5,12,4000,iOS,3.6,5232024,True,17449458,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000095,8,Apple,19208177,4,512,6.8,64,6000,iOS,2.5,2282024,False,153665416,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000096,9,Apple,19607857,8,256,5.5,64,5000,iOS,2.2,2242020,True,176470713,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000097,10,Asus,8958779,6,256,5.5,50,5000,Android,2.7,592020,False,89587790,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000098,10,Asus,3889741,12,512,6.1,48,5000,Android,3.2,5272022,True,38897410,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000099,13,Asus,19945806,8,256,6.4,108,4000,Android,1.1,12112023,True,259295478,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000100,13,Asus,8002176,6,128,6.7,108,4000,Android,4.0,9142019,True,104028288,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000101,14,Asus,24416327,8,128,6.4,108,4500,Android,1.3,8252021,True,341828578,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000102,14,Asus,20561462,12,512,6.5,64,4000,Android,4.3,2182024,False,287860468,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000103,14,Asus,7832381,12,512,6.4,108,5000,Android,2.7,2162023,False,109653334,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000104,15,Asus,11140337,16,512,6.5,12,4000,Android,4.2,8212022,False,167105055,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000105,17,Asus,7322020,16,256,6.7,108,4500,Android,3.3,12122022,True,124474340,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000106,17,Asus,8868509,4,512,6.4,48,4500,Android,2.1,7192023,True,150764653,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000107,18,Asus,6433219,4,512,6.7,50,4000,Android,2.3,512023,True,115797942,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000108,20,Asus,24582307,6,128,6.5,12,4500,Android,1.1,1282020,False,491646140,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000109,21,Asus,16332991,8,512,5.5,64,6000,Android,3.7,452023,False,342992811,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000110,23,Asus,18395227,4,128,6.4,12,5000,Android,3.3,3192020,False,423090221,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000111,23,Asus,15531434,4,512,6.8,50,5000,Android,2.5,2282020,True,357222982,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000112,24,Asus,6967591,16,512,6.1,108,6000,Android,2.9,7102020,False,167222184,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000113,26,Asus,17959493,4,256,6.4,50,5000,Android,2.2,272022,False,466946818,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000114,28,Asus,17543754,12,64,6.4,12,4000,Android,1.0,222020,True,491225112,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000115,29,Asus,10698492,16,512,6.7,50,5000,Android,2.2,3272024,True,310256268,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000116,29,Asus,4333907,12,64,6.5,50,5000,Android,2.0,5242023,True,125683303,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000117,30,Asus,17589896,6,64,6.7,48,4500,Android,4.5,4282024,False,527696880,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000118,30,Asus,7866160,8,512,6.4,12,4500,Android,3.8,8112020,False,235984800,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000119,5,Asus,19179698,12,256,6.4,50,5000,Android,1.3,422024,False,95898490,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000120,6,Asus,14180257,8,256,6.4,50,4500,Android,3.7,1132019,True,85081542,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000121,7,Asus,16258773,4,64,6.1,12,6000,Android,2.9,582024,True,113811411,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000122,8,Asus,10383320,16,256,6.8,50,5000,Android,4.4,5222020,True,83066560,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000123,8,Asus,6152007,8,64,6.8,48,6000,Android,4.4,8222023,True,49216056,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000124,9,Asus,22902608,16,256,6.1,64,4000,Android,2.9,522021,False,206123472,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000125,9,Asus,20334530,6,512,6.4,50,5000,Android,4.9,2102019,False,183010770,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000126,9,Asus,4438166,12,128,5.5,12,6000,Android,3.3,5172023,False,39943494,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000127,9,Asus,8838953,16,128,6.4,48,4500,Android,1.4,5212020,False,79550577,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000128,11,Asus,22055924,6,64,6.1,108,4500,Android,1.8,822022,True,242615164,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000129,12,Asus,7273202,4,64,6.1,50,4000,Android,1.5,6132023,True,87278424,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000130,12,Asus,4655928,16,128,6.5,12,4500,Android,4.1,5112023,False,55871136,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000131,13,Asus,23768423,8,64,5.5,50,4000,Android,2.5,1072020,True,308989499,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000132,14,Asus,13563255,8,256,6.1,64,4500,Android,4.6,10232022,True,189885570,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000133,14,Asus,11846718,6,128,6.4,64,4000,Android,4.9,7222020,True,165854052,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000134,15,Asus,8042556,16,256,6.1,108,4000,Android,4.4,10112022,True,120638340,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000135,16,Asus,2387778,4,256,6.1,50,4500,Android,3.3,4202020,True,38204448,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000136,16,Asus,17504991,4,64,5.5,50,5000,Android,1.3,6152019,False,280079856,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000137,17,Asus,13228493,16,64,5.5,12,4000,Android,2.1,7222023,True,224884381,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000138,18,Asus,19703490,16,64,6.8,12,4500,Android,4.3,5142020,False,354662820,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000139,19,Asus,21723060,6,128,6.8,64,6000,Android,2.9,10182021,False,412738140,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000140,19,Asus,7128044,12,64,5.5,108,6000,Android,1.2,12102020,True,135432836,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000141,21,Asus,16614117,6,256,6.1,50,4500,Android,3.0,11242022,True,348896457,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000142,23,Asus,13093582,16,256,6.5,12,4000,Android,2.8,9162023,True,301152386,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000143,23,Asus,6674769,12,128,6.5,108,5000,Android,3.5,9252022,False,153519687,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000144,24,Asus,10813650,12,128,6.4,12,5000,Android,3.9,3112021,True,259527600,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000145,25,Asus,12357707,8,256,6.7,48,4000,Android,1.2,8232020,True,308942675,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000146,27,Asus,7344103,8,256,6.1,50,5000,Android,1.9,2172019,False,198290781,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000147,28,Asus,11213849,16,512,5.5,64,4500,Android,2.4,3242020,False,313987772,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000148,30,Asus,18481957,12,512,6.5,108,5000,Android,4.1,7192021,True,554458710,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000149,6,Asus,15160268,8,64,6.7,12,5000,Android,4.6,512019,True,90961608,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000150,6,Asus,15515142,8,512,6.8,50,4500,Android,3.2,5192021,True,93090852,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000151,7,Asus,17642366,6,512,6.8,108,5000,Android,4.3,12312022,True,123496562,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000152,9,Asus,10226485,8,256,5.5,108,5000,Android,4.5,8182019,True,92038365,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000153,10,Asus,8909174,12,64,6.5,48,5000,Android,3.9,7292021,True,89091740,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000154,10,Asus,11180445,6,128,5.5,48,4000,Android,1.6,882020,True,111804450,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000155,11,Asus,17343299,4,128,6.7,64,4000,Android,1.1,1122019,False,190776289,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000156,12,Asus,2191706,6,64,6.1,64,4500,Android,4.3,1292020,True,26300472,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000157,13,Asus,15527658,4,64,6.1,48,4500,Android,1.6,10212021,False,201859554,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000158,16,Asus,14809339,12,256,6.4,12,6000,Android,4.9,2152023,True,236949424,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000159,17,Asus,2655950,12,256,6.7,12,6000,Android,4.4,9102023,True,45151150,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000160,18,Asus,21469645,4,512,6.5,108,6000,Android,3.2,4272023,False,386453610,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000161,18,Asus,14964658,12,512,6.1,48,5000,Android,1.5,1162021,True,269363844,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000162,18,Asus,6413894,8,512,6.4,108,5000,Android,3.1,6282023,False,115450092,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000163,19,Asus,9894258,16,64,5.5,64,6000,Android,4.8,3202022,False,187990902,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000164,19,Asus,19300084,16,64,6.1,12,6000,Android,1.6,512020,False,366701596,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000165,19,Asus,10332412,12,256,6.1,50,4500,Android,1.1,1142020,True,196315828,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000166,19,Asus,24424506,6,256,6.8,50,6000,Android,1.6,3242019,False,464065614,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000167,19,Asus,6296609,4,64,6.1,108,4000,Android,1.8,442024,False,119635571,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000168,21,Asus,12660513,6,64,5.5,64,4500,Android,1.3,10212021,True,265870773,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000169,22,Asus,20573424,8,128,6.1,50,4500,Android,3.9,5302019,False,452615328,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000170,22,Asus,16569886,6,512,6.1,64,5000,Android,5.0,1242023,True,364537492,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000171,23,Asus,11669763,12,64,6.7,48,6000,Android,3.6,932023,True,268404549,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000172,24,Asus,14716471,16,128,6.8,12,4000,Android,1.0,1142023,False,353195304,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000173,25,Asus,2613823,8,256,6.1,108,5000,Android,3.3,1252021,False,65345575,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000174,25,Asus,9298992,8,128,6.4,108,5000,Android,2.3,1232021,False,232474800,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000175,27,Asus,16955640,8,512,6.1,48,4000,Android,1.0,112024,True,457802280,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000176,30,Asus,3597207,6,256,6.1,12,4000,Android,3.8,8222023,False,107916210,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000177,30,Asus,22662403,12,256,6.7,50,4500,Android,3.8,532024,True,679872090,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000178,5,Asus,12877788,8,256,6.7,108,4500,Android,4.5,9132022,True,64388940,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000179,5,Asus,4156483,6,256,6.4,48,4500,Android,2.6,822023,False,20782415,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000180,6,Asus,22621182,8,512,6.8,50,4000,Android,1.0,7122019,True,135727092,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000181,6,Asus,3822569,8,128,5.5,50,6000,Android,3.3,3202021,False,22935414,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000182,7,Asus,9436982,4,256,6.4,64,5000,Android,4.7,1232020,True,66058874,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000183,8,Asus,22902837,6,256,6.1,50,4000,Android,2.3,3222022,False,183222696,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000184,9,Asus,1916622,12,256,6.8,50,4500,Android,2.9,7292022,False,17249598,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000185,11,Asus,23911297,12,128,5.5,48,4500,Android,3.1,1032021,True,263024267,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000186,11,Asus,18559606,4,512,6.1,108,4000,Android,3.7,8182021,True,204155666,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000187,12,Asus,16498244,16,64,5.5,50,4000,Android,4.9,9302023,True,197978928,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000188,12,Asus,18444839,4,512,6.4,64,4000,Android,4.7,1232023,False,221338068,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000189,14,Asus,11840477,4,64,6.8,12,6000,Android,2.3,482023,False,165766678,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000190,15,Asus,9837235,16,256,6.8,108,6000,Android,2.9,11162022,True,147558525,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000191,15,Asus,16493217,6,256,6.1,64,4500,Android,3.8,3102019,False,247398255,1970,1970-01,1970-01-01
